               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02211,            0.010768,            0.021323,             0.96954,             0.80459,             0.96101,             0.69895,            0.011365,           0.0032431,           0.0060176,            0.008614,            0.008614,            0.008614
                  37,            0.023512,            0.011846,            0.020552,             0.91574,             0.91014,             0.97052,             0.67573,           0.0095043,           0.0027335,           0.0044785,           0.0085744,           0.0085744,           0.0085744
                  38,            0.024315,            0.011938,            0.021326,             0.90898,              0.8918,             0.95732,             0.70655,            0.010991,           0.0027648,           0.0039131,           0.0085348,           0.0085348,           0.0085348
                  39,            0.023918,            0.012181,            0.020658,             0.88498,             0.92765,             0.97458,             0.67864,            0.011881,           0.0027725,           0.0041622,           0.0084952,           0.0084952,           0.0084952
                  40,             0.02122,            0.010461,            0.016945,             0.86857,             0.91305,             0.94928,             0.68996,            0.013212,           0.0028643,           0.0030305,           0.0084556,           0.0084556,           0.0084556
                  41,            0.023398,            0.011414,            0.019841,             0.86909,             0.92521,             0.94739,             0.71889,            0.009612,            0.002799,            0.003097,            0.008416,            0.008416,            0.008416
                  42,            0.024346,            0.011381,            0.017853,             0.90021,             0.91963,             0.96405,              0.7301,            0.008107,           0.0027008,           0.0036241,           0.0083764,           0.0083764,           0.0083764
                  43,            0.021409,             0.01047,            0.017594,             0.94925,             0.96411,             0.98298,              0.7129,            0.012197,           0.0026057,           0.0027021,           0.0083368,           0.0083368,           0.0083368
                  44,            0.022459,            0.011157,            0.017498,             0.92231,             0.95287,             0.98172,             0.75053,           0.0088184,           0.0028757,           0.0024556,           0.0082972,           0.0082972,           0.0082972
                  45,            0.024788,            0.011048,            0.018319,              0.8547,             0.95675,             0.94061,             0.69156,            0.010132,           0.0029291,           0.0024945,           0.0082576,           0.0082576,           0.0082576
                  46,            0.022009,            0.010582,            0.017314,             0.93645,             0.97444,             0.99216,             0.68838,            0.012819,           0.0026602,           0.0019604,            0.008218,            0.008218,            0.008218
                  47,            0.023498,            0.010818,            0.017313,             0.84058,             0.94086,             0.94271,             0.66457,            0.011589,            0.002789,           0.0019508,           0.0081784,           0.0081784,           0.0081784
                  48,             0.02507,            0.010907,            0.017065,             0.87709,             0.82985,              0.9442,             0.64864,             0.01123,           0.0032777,            0.002659,           0.0081388,           0.0081388,           0.0081388
                  49,            0.023334,             0.01119,            0.017968,             0.93524,             0.91011,             0.96499,             0.72735,           0.0086673,           0.0029666,            0.002423,           0.0080992,           0.0080992,           0.0080992
                  50,            0.021566,            0.010527,            0.014906,              0.8817,             0.97794,             0.98195,             0.73885,            0.011352,            0.002926,           0.0019402,           0.0080596,           0.0080596,           0.0080596
                  51,            0.021404,            0.010101,            0.016045,             0.96471,             0.92668,             0.98336,             0.72646,           0.0088648,           0.0029016,           0.0024592,             0.00802,             0.00802,             0.00802
                  52,            0.021999,            0.011468,            0.016642,             0.93162,             0.99551,             0.98443,             0.78556,           0.0086939,           0.0027097,           0.0015128,           0.0079804,           0.0079804,           0.0079804
                  53,            0.020304,            0.011599,            0.017053,              0.9682,             0.98458,             0.98402,             0.75968,           0.0088872,           0.0027739,           0.0016012,           0.0079408,           0.0079408,           0.0079408
                  54,            0.021167,            0.010406,            0.016141,              0.9338,             0.94606,             0.98406,             0.77019,            0.010428,           0.0028587,           0.0015892,           0.0079012,           0.0079012,           0.0079012
                  55,            0.021402,            0.011176,            0.016038,             0.96432,             0.97847,              0.9935,              0.7909,            0.010842,           0.0026752,            0.001389,           0.0078616,           0.0078616,           0.0078616
                  56,             0.01849,           0.0099383,            0.012875,             0.95921,             0.97549,              0.9935,             0.76904,           0.0087192,           0.0027558,           0.0014256,            0.007822,            0.007822,            0.007822
                  57,             0.01995,            0.011442,            0.015993,              0.9188,             0.98856,              0.9935,             0.76187,           0.0090893,           0.0026999,           0.0014209,           0.0077824,           0.0077824,           0.0077824
                  58,            0.022526,            0.010756,            0.016143,             0.97127,             0.97506,             0.99324,             0.76477,            0.009369,           0.0026174,           0.0012926,           0.0077428,           0.0077428,           0.0077428
                  59,            0.019895,            0.010535,            0.014165,             0.96575,             0.94228,             0.98624,             0.75676,            0.011723,           0.0027714,           0.0016081,           0.0077032,           0.0077032,           0.0077032
                  60,            0.020483,            0.010474,            0.014391,             0.97548,             0.98365,             0.99395,              0.7706,           0.0090394,           0.0026515,           0.0012101,           0.0076636,           0.0076636,           0.0076636
                  61,            0.024205,            0.011248,            0.015963,             0.97357,             0.98897,               0.995,             0.78489,           0.0086723,           0.0027022,           0.0011783,            0.007624,            0.007624,            0.007624
